FOLIO,FECHASOLICITUD,DEPENDENCIA,ESTATUS,MEDIOENTRADA,TIPOSOLICITUD,DESCRIPCIONSOLICITUD,OTROSDATOS,ARCHIVOADJUNTOSOLICITUD,MEDIOENTREGA,FECHALIMITE,RESPUESTA,TEXTORESPUESTA,FECHARESPUESTA,PAIS,ESTADO,MUNICIPIO,CODIGOPOSTAL,SECTOR
="01534516","27/12/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito la Copia de la demanda CEDH a Grupo México: denuncian daños a los recursos naturales, flora, fauna, ecosistemas, calidad del agua, suelo, subsuelo y ambiente, así como al derecho fundamental a no contar con agua en hogares, para cuestiones laborales y daños y prejuicios. La denuncia se hizo a través de los dictámenes de se semarnat, conagua profepa y protección civil.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/6CB82A9BFDFA0AE3","Consulta vía Infomex - Sin costo","25/01/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD DE INFORMACIÓN FOLIO NUMERO 01534516 MEDIANTE EL OFICIO CEDH/UETOM/003/2017 CON SUS RESPECTIVOS ANEXOS.","16/01/2017","MEXICO","Sonora","Hermosillo","83105",Organismos Autónomos
="01534616","27/12/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1. solicito el acta  de la mesa de trabajo realizada entre alcaldes de los pueblos del río Sonora y Grupo México que se efectuó en las instalaciones de la CEDH el día miércoles 10 de septiembre a las 17:00 horas 

2. copia Acta Constitutiva de dicha Comisión Ejecutiva","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/2DB818F5FAF2CE2E","Consulta vía Infomex - Sin costo","25/01/2017","06.- ACEPTADA, Respuesta Vía PNT","SE ADJUNTA OFICIO CEDH/UETOM/005/2017 MEDIANTE EL CUAL ENCONTRARÁ RESPUESTA A LA SOLICITUD DE FOLIO 01534616.","17/01/2017","MEXICO","Sonora","Hermosillo","83105",Organismos Autónomos
="01534416","27/12/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","1. La Carta Compromiso que Grupo México entregó a la CEDH Sonora durante las negociaciones para la creación del fideicomiso río Sonora.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/6ED320264FD04938","Consulta vía Infomex - Sin costo","11/01/2017","05.- Rechazo por Otro Motivo (Improcedente)","POR UN ERROR INVOLUNTARIO SE MARCO COMO RECHAZADA POR IMPROCEDENTE, SIN EMBARGO LO CORRECTO ES ACEPTADA, POR TAL MOTIVO ADJUNTO AL PRESENTE OFICIO CEDH/UETOM/004/2017 DONDE ENCONTRARÁ LA INFORMACIÓN SOLICITADA SEGÚN EL FOLIO 01534416.","17/01/2017","MEXICO","Sonora","Hermosillo","83105",Organismos Autónomos
="01534716","27/12/2016","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","La carta compromiso firmada por el Horacio Sánchez Unzueta asesor y representante de la empresa Grupo México con los municipios afectados por el derrame de la mina Buenavista.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/37ADD0A260C3F898","Consulta vía Infomex - Sin costo","11/01/2017","05.- Rechazo por Otro Motivo (Improcedente)","Se declina solicitud por no ser competencia de esta Comisión Estatal de Derechos Humanos, sin embargo, al querer declinarla vía sistema INFOMEX a los ayuntamientos involucrados en el derrame del Rio Sonora estos no aparecían como opción, por lo que se les informó vía correo electrónico con copia para la solicitante.","11/01/2017","MEXICO","Sonora","Hermosillo","83105",Organismos Autónomos
="00028717","11/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito conocer el gasto mensual de enero 2016 a diciembre de 2016 de cada trabajador de la dependencia en gasolina, boletos de avión, gastos de viaje, restaurantes, hospedaje con cargo al presupuesto y/o las partidas de apoyo. La información deberá estar desglosada por nombre, fecha y en el caso de los viajes por destino.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/4AE92D46E5C40AB2","Consulta vía Infomex - Sin costo","02/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD DE INFORMACIÓN 00028717 MEDIANTE OFICIO CEDH/UETOM/013/2017 MISMO QUE SE ADJUNTA.","01/02/2017","MEXICO","Sonora","Hermosillo","83150",Organismos Autónomos
="00065417","19/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","¿Cuáles son los principales casos, padecimientos, problematicas que la población del Poblado Miguel Alemán y sus alrededores presentan? Enlistar casos, edad, sexo, ocupación, resolución (de ser posible)","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C2653D80BB0A0C1D","Consulta vía Infomex - Sin costo","09/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD 00065417 MEDIANTE OFICIO CEDH/UETOM/012/2017 MISMO QUE SE ADJUNTA.","31/01/2017","MEXICO","Sonora","Hermosillo","83010",Organismos Autónomos
="00072417","19/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","¿Qué violaciones a los derechos humanos han sido reportadas por ciudadanos que se ubican en el Poblado Miguel Alemán? Enlistar y especificar caso, edad, sexo, resolución. (Años 2014, 2015, 2016, y si es posible hasta el 2017)","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/50A551B9D44EB604","Consulta vía Infomex - Sin costo","10/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD DE INFORMACION 00072417 MEDIANTE OFICIO CEDH/UETOM/011/2017 MISMO QUE SE ADJUNTA.","31/01/2017","MEXICO","Sonora","Hermosillo","83010",Organismos Autónomos
="00093117","26/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito saber cuántas quejas se han interpuesto en esta Comisión de Derechos Humanos por: desaparición forzada, tortura, tratos crueles inhumanos o degradantes, ejecución arbitraria y desplazamiento. Lo anterior lo requiero desagregado por autoridad señalada como probable responsable, por la comisión de los hechos violatorios así como por año, a partir del primero de enero de 2014 al 31 de diciembre de 2016.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/F6B614017D91FE99","Consulta vía Infomex - Sin costo","16/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD DE INFORMACION CON FOLIO 00093117 MEDIANTE OFICIO CEDH/UETOM/015/2017 MISMO QUE SE ADJUNTA","03/02/2017","MEXICO","","","",Organismos Autónomos
="00093217","26/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito saber cuántas recomendaciones ha emitido esta Comisión de Derechos Humanos por: desaparición forzada, tortura y ejecución arbitraria. También solicito saber el estado de cumplimiento de las mismas. Lo anterior lo requiero desagregado por autoridad señalada como responsable, por la comisión de los hechos violatorios así como por año, a partir de 1994 al 31 de diciembre de 2016.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/9CEABC3A926557A2","Consulta vía Infomex - Sin costo","16/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD 00093217 MEDIANTE OFICIO CEDH/UETOM/009/2017 MISMO QUE SE ADJUNTA.","27/01/2017","MEXICO","","","",Organismos Autónomos
="00093317","26/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito saber cuántas recomendaciones ha emitido esta Comisión de Derechos Humanos por: desaparición forzada, tortura y ejecución arbitraria. También solicito saber el estado de cumplimiento de las mismas. Lo anterior lo requiero desagregado por autoridad señalada como responsable, por la comisión de los hechos violatorios así como por año, a partir de 1994 al 31 de diciembre de 2016.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/37D38F300B7DEC74","Consulta vía Infomex - Sin costo","16/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE CONTESTA SOLICITUD 00093317 MEDIANTE OFICIO CEDH/UETOM/008/2017 MISMO QUE SE ADJUNTA.","27/01/2017","MEXICO","","","",Organismos Autónomos
="00093517","26/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito saber cuántas recomendaciones ha emitido esta Comisión de Derechos Humanos por: desaparición forzada, tortura y ejecución arbitraria. También solicito saber el estado de cumplimiento de las mismas. Lo anterior lo requiero desagregado por autoridad señalada como responsable, por la comisión de los hechos violatorios así como por año, a partir de 1994 al 31 de diciembre de 2016.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/646DA3D51B22AD11","Consulta vía Infomex - Sin costo","16/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD 00093517 MEDIANTE OFICIO CEDH/UETOM/007/2017 MISMO QUE SE ADJUNTA","27/01/2017","MEXICO","","","",Organismos Autónomos
="00098617","27/01/2017","Comisión Estatal de Derechos Humanos (CEDH)","Terminada","Electrónica","Información pública","Solicito saber cuántas recomendaciones ha emitido esta Comisión de Derechos Humanos por: desaparición forzada, tortura y ejecución arbitraria. También solicito saber el estado de cumplimiento de las mismas. Lo anterior lo requiero desagregado por autoridad señalada como responsable, por la comisión de los hechos violatorios así como por año, a partir de 1994 al 31 de diciembre de 2016.","","https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/0FEE07D12AFF4AAA","Consulta vía Infomex - Sin costo","17/02/2017","06.- ACEPTADA, Respuesta Vía PNT","SE RESPONDE SOLICITUD DE FOLIO 00098617 MEDIANTE OFICIO CEDH/UETOM/010/2017 MISMO QUE SE ADJUNTA","31/01/2017","MEXICO","","","",Organismos Autónomos
